municipality,park_name
Coconut Creek ,Coco Point Park
Coconut Creek ,Community Center and Fitness Center South
Coconut Creek ,Cypress Park
Coconut Creek ,Rowe Activity Center and Donaldson Park
Coconut Creek ,George S. Gerber Memorial Park
Coconut Creek ,Golden Raintree Park
Coconut Creek ,Hosford Park
Coconut Creek ,Lakeside Park
Coconut Creek ,Lakewood Park
Coconut Creek ,Oak Trails Park
Coconut Creek ,Pond Apple Park
Coconut Creek ,Recreation Complex and Fitness Center North
Coconut Creek ,Sabal Pines Park
Coconut Creek ,Sunshine Drive Park
Coconut Creek ,Township Estates Park
Coconut Creek ,Veterans Park
Coconut Creek ,Windmill Park and Dog Park
Coconut Creek ,Winston Park Nature Trail
Cooper City,Bill Lips Sports Complex
Cooper City,Chase Park
Cooper City,Christie Schafale Park and Dog Park
Cooper City,Colony Park
Cooper City,Memorial Park
Cooper City,Cooper's Point Park
Cooper City,Dawn Park
Cooper City,Diamond Head Park
Cooper City,Ellie Kozak Park
Cooper City,Encore Park
Cooper City,Flamingo Park
Cooper City,Flamingo West Park
Cooper City,Forest Lake Park
Cooper City,Jerry Morgan Park
Cooper City,Homes of Forest Lake Park
Cooper City,Natalie's Cove Park
Cooper City,Pine Lake Park
Cooper City,Poinciana Park
Cooper City,Pool & Tennis Center Park
Cooper City,Stirling Palm Park
Cooper City,Suellen H. Fardelmann Sports Complex
Cooper City,Tamarind Park
Cooper City,Ted Ferone Park
Coral Springs,Coral Springs Aquatic Complex
Coral Springs,Betti Stradling Park
Coral Springs,Castlewood Park
Coral Springs,Chevy Chase North Park
Coral Springs,Chevy Chase South Park
Coral Springs,Countrywood Park
Coral Springs,Cypress Hammock
Coral Springs,Cypress Park
Coral Springs,Dede Gilmore Memorial Park
Coral Springs,Eagle Ridge Park
Coral Springs,Fern Glen Park
Coral Springs,Forest Hills Park
Coral Springs,Forest Hills West Park
Coral Springs,Jaycee Park
Coral Springs,Kiwanis Park
Coral Springs,Lakeview Park
Coral Springs,Lions Park
Coral Springs,Mullins Park
Coral Springs,North Community Park
Coral Springs,Orchid Park
Coral Springs,Paul Barre Memorial Park
Coral Springs,Paul Britton Park
Coral Springs,Pine Glen Park
Coral Springs,Poinciana Park
Coral Springs,Pride Promoters Park
Coral Springs,Ralph Diaz Memorial Park
Coral Springs,Richard D Petrillo Park
Coral Springs,Riverside Park
Coral Springs,Running Brooke Hills Park 
Coral Springs,Sandy Ridge Sanctuary
Coral Springs,Shadow Wood Park
Coral Springs,Sherwood Forest Park
Coral Springs,Sportsplex Athletic Complex
Coral Springs,Three Friends Park
Coral Springs,Three Mountains Natural Area
Coral Springs,Turtle Run Park
Coral Springs,Village Green Park
Coral Springs,Volunteer Park
Coral Springs,Westchester Park
Coral Springs,Whispering Oaks Park
Coral Springs,Whispering Woods
Coral Springs,Windings Park
Dania Beach,Chester Byrd Park
Dania Beach,CW Thomas Park
Dania Beach,Dania Beach Marina
Dania Beach,Dania Cove Park
Dania Beach,Frank C. Tootie Adler Park
Dania Beach,Frost Park
Dania Beach,Griffin Marine Park
Dania Beach,I.T. Parker Center
Dania Beach,Linear Park
Dania Beach,Mildred V. Jones Park
Dania Beach,Mullikin Park
Dania Beach,Northside Garden Park
Dania Beach,Ocean Park Beach
Dania Beach,Meli-Griffin Park
Dania Beach,Southwest Community Center
Dania Beach,Tigertail Lake Park
Dania Beach,Whiskey Creek Hideout
Deerfield Beach,Ada Graham-Johnson Park
Deerfield Beach,Branhilda Richardson-Knowles Memorial Park
Deerfield Beach,Central Crystal Heights
Deerfield Beach,Constitution & Arboretum Park
Deerfield Beach,Cornerstone Park
Deerfield Beach,Deer Run East
Deerfield Beach,Ecidar Park
Deerfield Beach,Highlands Park
Deerfield Beach,Hillsboro Community Center
Deerfield Beach,Johnie McKeithen Park
Deerfield Beach,Kirk Cottrell Pavilion
Deerfield Beach,Marty Popelsky Park
Deerfield Beach,Mayo Howard Park
Deerfield Beach,Memorial Cemetery
Deerfield Beach,Middle School Athletic & Aquatic Complex
Deerfield Beach,North Crystal Heights
Deerfield Beach,Oveta McKeithen Recreational Complex
Deerfield Beach,Pastor Willie James Ford Sr. Linear Park
Deerfield Beach,Pineview Cemetery
Deerfield Beach,Pioneer Park
Deerfield Beach,Riverglen Park
Deerfield Beach,Riverview Park
Deerfield Beach,SE 15th St Park
Deerfield Beach,SE 19th Ave. Park
Deerfield Beach,South Crystal Heights
Deerfield Beach,Sullivan Park
Deerfield Beach,Teen Center
Deerfield Beach,Tivoli Sand Pines Preserve
Deerfield Beach,Trailhead Linear Park
Deerfield Beach,Trailhead Park
Deerfield Beach,Villages of Hillsboro Park
Deerfield Beach,Wedding Deck
Fort Lauderdale,4201 N. Ocean Blvd
Fort Lauderdale,520 SW 31st Ave
Fort Lauderdale,Ann Herman Park
Fort Lauderdale,Annie Beck Park
Fort Lauderdale,Bass Park
Fort Lauderdale,Bayview Park
Fort Lauderdale,Beach Community Center
Fort Lauderdale,Benenson Park
Fort Lauderdale,Bill Keith Preserve
Fort Lauderdale,Bryant Peney Park
Fort Lauderdale,Bubier Park
Fort Lauderdale,Carter Park-Sunland Park
Fort Lauderdale,Cliff Lake Park
Fort Lauderdale,Colee Hammock Park
Fort Lauderdale,Coontie Hatchee Park
Fort Lauderdale,Coral Ridge Park
Fort Lauderdale,Croissant Park
Fort Lauderdale,Cypress Creek Sand Pine Preserve
Fort Lauderdale,D.C. Alexander Park
Fort Lauderdale,Dottie Mancini Park
Fort Lauderdale,Dr. Elizabeth Hays Civic Park
Fort Lauderdale,Earl Lifshey Park
Fort Lauderdale,Esplanade Park
Fort Lauderdale,Esterre Davis Wright Park
Fort Lauderdale,Evergreen Cemetery
Fort Lauderdale,Flamingo Park
Fort Lauderdale,Floranda Elementary School Park
Fort Lauderdale,Floyd Hull Stadium
Fort Lauderdale,Fort Lauderdale Beach Park
Fort Lauderdale,Francis L. Abreu Place
Fort Lauderdale,George English Park
Fort Lauderdale,Gore Betz Park
Fort Lauderdale,Greenfield Park
Fort Lauderdale,Guthrie Blake Memorial Park
Fort Lauderdale,Harbordale Park
Fort Lauderdale,Florence C. Hardy Park
Fort Lauderdale,Hector Park
Fort Lauderdale,Holiday Park
Fort Lauderdale,Hortt Park
Fort Lauderdale,Idlewyld Park-Merle Fogg Park
Fort Lauderdale,Imperial Point Entranceway
Fort Lauderdale,Jack and Harriet Kaye Park
Fort Lauderdale,Las Olas Oceanside Park
Fort Lauderdale,Lauderdale Manors Park
Fort Lauderdale,Lauderdale Memorial Park Cemetery
Fort Lauderdale,Lauderdale Villas Entranceway
Fort Lauderdale,Lewis Landing Park
Fort Lauderdale,Lincoln Park
Fort Lauderdale,Little Lincoln Park
Fort Lauderdale,Lockhart Park
Fort Lauderdale,Loggerhead Park
Fort Lauderdale,Lu Deaner Park
Fort Lauderdale,Major William M. Lauderdale Park
Fort Lauderdale,Mangurian Park-Coral Ridge Country Club
Fort Lauderdale,Marshall Point
Fort Lauderdale,Middle River Terrace Park
Fort Lauderdale,Mills Pond Park
Fort Lauderdale,Mitchell Family Park
Fort Lauderdale,Northfork Riverfront Park
Fort Lauderdale,Osswald Park
Fort Lauderdale,Palm Aire Park
Fort Lauderdale,Palm Aire Village Park
Fort Lauderdale,Peter Feldman Park
Fort Lauderdale,Poinciana Park
Fort Lauderdale,Provident Park
Fort Lauderdale,Purple Pickle Park
Fort Lauderdale,Riverland Park
Fort Lauderdale,Riverland Preserve
Fort Lauderdale,Riverland Woods Park
Fort Lauderdale,Riverside Park
Fort Lauderdale,Riverwalk Linear Park
Fort Lauderdale,Sailboat Bend Preserve
Fort Lauderdale,Sara Horn Greenway
Fort Lauderdale,Shirley Small-Melrose Park
Fort Lauderdale,Sistrunk Park
Fort Lauderdale,Smoker Park
Fort Lauderdale,Snyder Park
Fort Lauderdale,South Intracoastal Park
Fort Lauderdale,South Middle River Park
Fort Lauderdale,Stranahan Park
Fort Lauderdale,Sunset School Park
Fort Lauderdale,SW 5th Ct and SW 12th Ave Park
Fort Lauderdale,Sweeting Park
Fort Lauderdale,Tarpon Cove Park
Fort Lauderdale,Tarpon River Park
Fort Lauderdale,Townsend Park
Fort Lauderdale,Tranquility Park
Fort Lauderdale,Twin Lakes North Park
Fort Lauderdale,Victoria Park
Fort Lauderdale,Virginia Shuman Young Elementary Park
Fort Lauderdale,Virginia Young Park
Fort Lauderdale,Vista Park
Fort Lauderdale,Walker Park (Walker Elementary School)
Fort Lauderdale,Warbler Wetlands
Fort Lauderdale,Warfield Park
Fort Lauderdale,Waverly Property
Fort Lauderdale,Welcome Park
Fort Lauderdale,Westwood Heights Triangle Park (Westwood Heights Elementary School)
Fort Lauderdale,Willingham Park
Hallandale Beach,B.F. James Park and Pool
Hallandale Beach,Curci House-Historical Village 
Hallandale Beach,Foster Park & Plaza
Hallandale Beach,Golden Isles Park 
Hallandale Beach,Gulfstream Academy (HACC) Athletic Fields
Hallandale Beach,Ingalls Park
Hallandale Beach,Joseph Scavo Park
Hallandale Beach,OB Johnson Park
Hallandale Beach,Hallandale City Park
Hallandale Beach,South City Beach Park
Hallandale Beach,Sunrise Park
Hallandale Beach,Sunset Park
Hollywood,Anniversary Park
Hollywood,Bicentennial Park
Hollywood,Bob Butterworth Park
Hollywood,Carlton Montayne Park
Hollywood,Cathy & Bob Anderson Park
Hollywood,Charnow Park-Historical Paddleball Courts
Hollywood,Earl Crofford Park
Hollywood,Emerald Hills Lakes Park & Dog Park
Hollywood,Eppelman Park
Hollywood,Fletcher Street Park
Hollywood,Harry Berry Park
Hollywood,Henry L. Graham Park
Hollywood,Holland Park
Hollywood,Hollywood West Skate Park
Hollywood,Jefferson Park
Hollywood,Joe DiMaggio Park
Hollywood,John B. Kooser Memorial Park & Exercise Trail
Hollywood,John Williams Park-Sheridan Oak Forest
Hollywood,Kiwanis Park
Hollywood,Keating Park
Hollywood,Lions Park
Hollywood,Lincoln Park
Hollywood,Mara Berman Giulianti Park in Emerald Hills
Hollywood,Montella Park
Hollywood,Oakwood Hills Park
Hollywood,Oak Lake Park
Hollywood,Oakridge Park & Dog Park
Hollywood,Poinciana Park & Poinciana Dog Park
Hollywood,Rainbow Tot Lot
Hollywood,Rose's Garden
Hollywood,Rotary Park
Hollywood,Sailor's Point
Hollywood,Sal Oliveri Veterans Park
Hollywood,Stan Goldman Memorial Park
Hollywood,Seminole Park
Hollywood,Charles F. Vollman Park
Hollywood,Water View Park
Hollywood,Zinkil Park
Lauderhill,17th Street Park
Lauderhill,Boulevard Woods Park
Lauderhill,Herbert Sadkin Community Center
Lauderhill,Ilene Lieberman Botanical Gardens
Lauderhill,Jackie Gleason Park
Lauderhill,James D. Bradley Jr. Park
Lauderhill,John E. Mullin Park & The Lauderhill Aquatic Center
Lauderhill,Lauderhill 6-12 School Field
Lauderhill,Lauderhill Golf Course
Lauderhill,Lauderhill Sports Park
Lauderhill,Maye Frances Brooks Jenkins Park
Lauderhill,Meditation Park
Lauderhill,Renaissance Park
Lauderhill,Ruth Rothkopf Park
Lauderhill,South Gateway Park
Lauderhill,St. George Community Park
Lauderhill,Veterans Park
Lauderhill,Walter Wally Elfers Park & Lauderhill Historical Museum
Lauderhill,Waterford Park
Lauderhill,West Ken Lark Park
Lauderhill,Westwind Park
Lauderhill,Windermere Community Center
Lauderhill,Wolk Park
Broward,Anne Kolb Nature Center
Broward,Boulevard Gardens Community Center
Broward,Brian Piccolo Sports Park & Velodrome
Broward,CB Smith Park
Broward,Central Broward Regional Park
Broward,Crystal Lake Sand Pine Scrub
Broward,Deerfield Highlands Nature Preserve
Broward,Deerfield Island Park
Broward,Dillard Green Space
Broward,Easterlin Park
Broward,Everglades Holiday Park
Broward,Fern Forest Nature Center
Broward,Franklin Park
Broward,Helene Klein Pineland Preserve
Broward,Herman and Dorothy Shooster Nature Preserve
Broward,Highlands Scrub Natural Area
Broward,Hollywood North Beach Park
Broward,Kristin Jacobs Natural Area at Hillsboro Pineland
Broward,Lafayette Hart Park
Broward,Lewis-Chisom Park
Broward,Long Key Natural Area and Nature Center
Broward,Markham Park
Broward,Military Trail Nature Area
Broward,Miramar Pineland Natural Area
Broward,Pine Island Ridge Natural Area
Broward,Plantation Heritage Park
Broward,Quiet Waters Park
Broward,Reverend Samuel Delevoe Memorial Park
Broward,Roosevelt Gardens Park
Broward,Saw Palmetto Natural Area
Broward,Secret Woods Park
Broward,Sewell Lock
Broward,Snake Warriors Island
Broward,South Fork Canoe Launch
Broward,Sunview Park
Broward,Topeekeegee Yugnee Park
Broward,Tall Cypress Natural Area
Broward,Tradewinds Park
Broward,Tree Tops Park
Broward,Vista View Park
Broward,Washburn Park
Broward,West Creek Pineland Natural Area
Broward,West Lake Park
Broward,William J. Kelley Park
Broward,Woodmont Natural Area
Lauderdale Lakes,Cypress Preserve Conservation Park
Lauderdale Lakes,Northgate Neighborhood Park
Lauderdale Lakes,Otis Grey Neighborhood Park
Lauderdale Lakes,Vincent Torres Memorial Park
Lauderdale Lakes,"Willie L. Webb, Sr. Park"
Lighthouse Point,Dan Witt Park
Lighthouse Point,De Groff Park
Lighthouse Point,Frank McDonough Park
Oakland Park,Bark Park
Oakland Park,Cherry Creek Park
Oakland Park,Dr. Carter G. Woodson Park
Oakland Park,Greenleaf Park
Oakland Park,Jaco Pastorius Park
Oakland Park,Lakeside Sand Pine Preserve
Oakland Park,Lloyd Estates Park
Oakland Park,North Andrews Gardens Volunteer Park
Oakland Park,North Andrews Gardens Neighborhood Park
Oakland Park,Richard E. Giusti Heart Park
Oakland Park,Stevens Field
Oakland Park,Stunson Nature Trail
Oakland Park,Veterans Park
Oakland Park,Wimberly Fields Park
Parkland,Six Acre Woods Park
Parkland,Barkland Dog Park
Parkland,Covered Bridge Park
Parkland,Doris Davis Forman Wilderness Preserve
Parkland,Equestrian Center at Temple Park
Parkland,John H. Quigley Park - Parkland Tennis Center
Parkland,Liberty Park
Parkland,Pine Trails Park
Parkland,Terramar Park
Margate,Andrews Field
Margate,Centennial Park
Margate,Coral Gate Park
Margate,David Park
Margate,Firefighters Park
Margate,Kaye Stevens Park
Margate,Legacy Park
