Municipality,Park name,Pavilion/Picnic Area,Kids Playground,Body of Water,Jog/Walk Path,Athletic Facility,Nature Preserve,Dog Park,Indoor/Outdoor Fitness Center
Lauderdale Lakes,Cypress Preserve Conservation Park,1,0,0,1,0,1,0,0
Lauderdale Lakes,Northgate Neighborhood Park,1,1,0,1,1,0,0,0
Lauderdale Lakes,Otis Grey Neighborhood Park,1,1,0,1,0,0,0,0
Lauderdale Lakes,Vincent Torres Memorial Park,1,1,0,0,1,0,0,0
Lauderdale Lakes,"Willie L. Webb, Sr. Park",1,1,0,0,1,0,0,0
Coconut Creek ,Coco Point Park,1,1,1,0,0,0,0,1
Coconut Creek ,Community Center and Fitness Center South,1,1,1,1,1,0,0,1
Coconut Creek ,Cypress Park,1,1,0,1,0,1,0,0
Coconut Creek ,Rowe Activity Center and Donaldson Park,1,1,1,1,1,0,0,0
Coconut Creek ,George S. Gerber Memorial Park,1,1,0,1,1,0,0,0
Coconut Creek ,Golden Raintree Park,0,1,0,0,0,0,0,0
Coconut Creek ,Hosford Park,0,0,0,1,1,0,0,0
Coconut Creek ,Lakeside Park,0,1,0,0,1,0,0,0
Coconut Creek ,Lakewood Park,1,1,1,1,0,0,0,1
Coconut Creek ,Oak Trails Park,1,0,0,1,1,1,1,1
Coconut Creek ,Pond Apple Park,1,1,1,0,0,1,0,0
Coconut Creek ,Recreation Complex and Fitness Center North,1,1,0,1,1,1,0,1
Coconut Creek ,Sabal Pines Park,1,1,1,1,1,1,1,0
Coconut Creek ,Sunshine Drive Park,0,1,0,0,0,0,0,0
Coconut Creek ,Township Estates Park,0,0,1,0,0,1,0,0
Coconut Creek ,Veterans Park,0,0,0,1,0,0,0,0
Coconut Creek ,Windmill Park and Dog Park,0,1,1,1,1,0,1,1
Coconut Creek ,Winston Park Nature Trail,1,1,1,1,1,1,0,0
Cooper City,Bill Lips Sports Complex,1,1,0,1,1,0,0,0
Cooper City,Chase Park,1,1,1,1,0,0,0,0
Cooper City,Christie Schafale Park and Dog Park,1,1,1,1,1,0,1,1
Cooper City,Colony Park,1,1,0,0,0,0,0,0
Cooper City,Memorial Park,1,1,0,1,0,0,0,0
Cooper City,Cooper's Point Park,1,1,0,1,0,0,0,0
Cooper City,Dawn Park,1,1,0,0,0,0,0,0
Cooper City,Diamond Head Park,1,1,0,1,1,0,0,0
Cooper City,Ellie Kozak Park,1,1,0,0,0,0,0,1
Cooper City,Encore Park,0,1,1,0,0,0,0,0
Cooper City,Flamingo Park,1,1,1,1,1,0,0,0
Cooper City,Flamingo West Park,1,1,1,1,1,0,0,0
Cooper City,Forest Lake Park,1,1,0,1,1,0,0,0
Cooper City,Jerry Morgan Park,0,0,1,1,0,0,0,0
