poly_id,mncplty,park_name,park_size_ha,total_observations,total_observers,family_count_observations,order_count_observations,species_count_observations,geometry
Broward_Anne Kolb Nature Center,Broward,Anne Kolb Nature Center,375.98528790146827,1120,189,159,82,259,"list(c(-80.1353864807144, -80.1144656460185, -80.1155086201821, -80.128821878625, -80.1290366086002, -80.1301409341852, -80.1302329613174, -80.1341287765757, -80.1342821551294, -80.1351410750292, -80.1353864807144, 26.0524495690652, 26.0529456268591, 26.0343971490598, 26.0342042074239, 26.0372361107207, 26.0372912355093, 26.0401025653916, 26.0401025653916, 26.0412601522245, 26.041315275122, 26.0524495690652))"
Broward_Boulevard Gardens Community Center,Broward,Boulevard Gardens Community Center,0.7114564488514947,NA,NA,NA,NA,NA,"list(c(-80.181724446732, -80.18091460526, -80.1808915609901, -80.1817129245973, -80.181724446732, 26.1250835020165, 26.1251041919645, 26.1243120599355, 26.1243046706195, 26.1250835020165))"
Broward_Brian Piccolo Sports Park & Velodrome,Broward,Brian Piccolo Sports Park & Velodrome,87.90554109785029,127,52,47,34,49,"list(c(-80.2748040715001, -80.2766907445127, -80.2767068699236, -80.2766907445133, -80.2767552461542, -80.2805930938217, -80.2806898462843, -80.2807059716939, -80.2792385593511, -80.2649353203551, -80.2647901916617, -80.2656609638217, -80.2656287130006, -80.2672896302687, -80.2679023958625, -80.2685312868672, -80.2684667852256, -80.2747556952687, -80.2748040715001, 26.0333369986354, 26.0332790413915, 26.0342208430567, 26.0343367565675, 26.0345251158269, 26.0344961374998, 26.0364376694359, 26.0374808673509, 
26.0375243337296, 26.037872064177, 26.0363362469211, 26.0362782911592, 26.0339745264282, 26.0338441232978, 26.0332355734396, 26.0323662110224, 26.0304970600082, 26.0303956323569, 26.0333369986354))"
Broward_CB Smith Park,Broward,CB Smith Park,131.3228011216842,331,46,102,60,141,"list(c(-80.3207490777801, -80.3125084486423, -80.3121097085226, -80.3204610988051, -80.3207490777801, 26.0220910803392, 26.0221109868831, 26.0078968550346, 26.0078172191963, 26.0220910803392))"
Broward_Central Broward Regional Park,Broward,Central Broward Regional Park,45.89268729608591,381,14,116,62,166,"list(c(-80.2008447895474, -80.1928366010858, -80.1927092342718, -80.1965780012621, -80.1965620804104, -80.1991094167004, -80.1991412584038, -80.1997144090691, -80.1997144090691, -80.2024050330254, -80.2023891121737, -80.2017522781011, -80.2017363572494, -80.2008288686958, -80.2008447895474, 26.142123304231, 26.1422948106327, 26.1378212695562, 26.1377212203518, 26.1362204720016, 26.1362061790675, 26.1375925855348, 26.1376640493389, 26.1382500508883, 26.1383215142912, 26.1393219973301, 26.1393934600769, 
26.1397936506472, 26.1397793581506, 26.142123304231))"
Broward_Crystal Lake Sand Pine Scrub,Broward,Crystal Lake Sand Pine Scrub,10.130759253335247,442,40,81,45,124,"list(c(-80.1220070143439, -80.1201218872452, -80.1207028772366, -80.1206781542582, -80.119442005341, -80.1193740171508, -80.1226498117804, -80.1226868962482, -80.1219822913656, -80.1220070143439, 26.2733295403088, 26.2733572514444, 26.2725868794087, 26.2717666215485, 26.2717832484547, 26.2697990875148, 26.2697547483354, 26.2723097659152, 26.2723374772942, 26.2733295403088))"
Broward_Deerfield Highlands Nature Preserve,Broward,Deerfield Highlands Nature Preserve,4.198226841960427,7,4,6,6,6,"list(c(-80.1174434091398, -80.113508768912, -80.113508768912, -80.113513662743, -80.1135234504053, -80.1135234504053, -80.1135234504053, -80.1132542896932, -80.113244502031, -80.113244502031, -80.1138023987795, -80.1174336214776, -80.1174434091398, 26.282538475885, 26.2826042945732, 26.2824989846577, 26.2823936746362, 26.2822927524776, 26.2821479508982, 26.2819943732967, 26.2819899853616, 26.2817925281388, 26.281660889813, 26.2816608898031, 26.2815906826296, 26.282538475885))"
Broward_Deerfield Island Park,Broward,Deerfield Island Park,23.32112894821867,52,11,37,29,39,"list(c(-80.0874167222596, -80.0874381799315, -80.0872987050631, -80.0866978902435, -80.0856786508181, -80.0845950383762, -80.0836830873109, -80.0830178994751, -80.0822346944427, -80.0811296243288, -80.0807863015749, -80.0808506745911, -80.0808614034271, -80.0810867089845, -80.0812261838533, -80.0814514894103, -80.0814836759187, -80.0815909642792, -80.0816767949678, -80.0819879312133, -80.0825458306887, -80.0828462380983, -80.0831895608522, -80.0835221547702, -80.0841229695894, -80.0851422090151, 
-80.0856786508181, -80.0857001084901, -80.086021973572, -80.086783720932, -80.0874167222596, 26.3204029106755, 26.3206529410325, 26.3208068055987, 26.3208164221281, 26.3208068055987, 26.3208645047589, 26.3208933543278, 26.3209318204092, 26.3209222038902, 26.3209799029921, 26.3207010237312, 26.3203836775489, 26.3197297493391, 26.318768083501, 26.3180083618444, 26.3173832706679, 26.316960130112, 26.3161426951139, 26.315883038084, 26.3157964856113, 26.3160465259114, 26.3162965656719, 26.316594689296, 
26.3167677929838, 26.3170466817152, 26.3177871761213, 26.3183449480028, 26.318633449647, 26.3188354003698, 26.3196431997406, 26.3204029106755))"
Broward_Dillard Green Space,Broward,Dillard Green Space,1.8373298936738305,NA,NA,NA,NA,NA,"list(c(-80.1783486352185, -80.1783732113317, -80.1781730915559, -80.1778992434412, -80.1779308413009, -80.1779343521741, -80.1778184933564, -80.1773339928463, -80.1767722531251, -80.1763474374604, -80.1758769804437, -80.1757014367806, -80.1755610018503, -80.1755399366109, -80.1760209262473, -80.1775411343691, -80.1782292655276, -80.1783486352185, 26.1366186146372, 26.138203996093, 26.1382134515848, 26.1382134515848, 26.1371197614002, 26.1370315092958, 26.1369873832191, 26.1369905350822, 26.1370062943969, 
26.1370094462595, 26.1369999906713, 26.1370031425342, 26.1369747757655, 26.1366217665104, 26.1366028552703, 26.1366028552703, 26.1365839440262, 26.1366186146372))"
Broward_Easterlin Park,Broward,Easterlin Park,21.71394708303284,173,25,55,37,68,"list(c(-80.1629387524192, -80.1630006478254, -80.163041911429, -80.1628871729147, -80.1623301142609, -80.161711160201, -80.1613088400624, -80.1604732520818, -80.1592456598636, -80.1586267058045, -80.1593488188735, -80.1599265093291, -80.1609168358248, -80.1617627397063, -80.1628355934093, -80.1629387524192, 26.1674606384411, 26.1704974241629, 26.1736730026765, 26.1737285513853, 26.1736544864346, 26.1735248726574, 26.1734693238522, 26.1735341307897, 26.173589679564, 26.1735711633089, 26.1718676552387, 
26.1704789074159, 26.1683587205033, 26.1664421864956, 26.1672013969717, 26.1674606384411))"
