Municipality,Park Name,Park Size (ha),Number of iNaturalist Observations,Number of iNaturalist Users,Predicted Richness,Human Utility Attribute Index
Undefined,Anne Kolb Nature Center,375.99,1120,189,248.78,0.57
Undefined,Brian Piccolo Sports Park & Velodrome,87.91,127,52,169.6,0.86
Undefined,CB Smith Park,131.32,331,46,192.55,0.86
Undefined,Central Broward Regional Park,45.89,381,14,129.52,0.57
Undefined,Crystal Lake Sand Pine Scrub,10.13,442,40,153.57,0.29
Undefined,Deerfield Highlands Nature Preserve,4.2,7,4,124.36,0.43
Undefined,Deerfield Island Park,23.32,52,11,268.01,0.43
Undefined,Easterlin Park,21.71,173,25,220.9,0.71
Undefined,Everglades Holiday Park,10.45,339,71,238.72,0.43
Undefined,Fern Forest Nature Center,99.73,2635,235,263.4,0.43
Undefined,Helene Klein Pineland Preserve,5.19,463,34,160.37,0.43
Undefined,Herman and Dorothy Shooster Nature Preserve,13.81,53,9,180.23,0.43
Undefined,Highlands Scrub Natural Area,14.48,222,23,147.93,0.43
Undefined,Hollywood North Beach Park,23.65,220,53,189.72,0.43
Undefined,Kristin Jacobs Natural Area at Hillsboro Pineland,17.48,487,42,215.39,0.43
Undefined,Long Key Natural Area and Nature Center,69.66,1871,120,233.97,0.57
Undefined,Markham Park,333.14,2042,189,277.11,1
Undefined,Military Trail Nature Area,8.2,51,11,224.74,0.29
Undefined,Miramar Pineland Natural Area,68.55,1758,36,152.38,0.57
Undefined,Pine Island Ridge Natural Area,43.99,198,37,221.18,0.57
Undefined,Plantation Heritage Park,35.55,119,47,198.81,0.71
Undefined,Quiet Waters Park,187.51,1195,73,218.58,0.86
Undefined,Reverend Samuel Delevoe Memorial Park,13.84,7,2,155.93,0.86
Undefined,Saw Palmetto Natural Area,4.68,92,16,172.4,0.43
Undefined,Secret Woods Park,22.46,569,106,234.46,0.43
Undefined,Snake Warriors Island,22.48,494,26,157.93,0.57
Undefined,Sunview Park,8.21,6,2,167.1,0.57
Undefined,Tall Cypress Natural Area,28.2,657,88,268.42,0.43
Undefined,Topeekeegee Yugnee Park,57.47,561,78,192.63,0.86
Undefined,Tradewinds Park,151.19,763,93,278.88,0.71
Undefined,Tree Tops Park,104.07,2102,236,293.8,0.86
Undefined,Vista View Park,160.72,314,83,210.92,0.71
Undefined,West Creek Pineland Natural Area,11.18,53,10,147.57,0.57
Undefined,West Lake Park,72.94,146,32,181.74,0.71
Undefined,William J. Kelley Park,17.09,1,1,139.68,0.43
Undefined,Woodmont Natural Area,8.63,331,19,168.9,0.29
Coconut Creek,Coco Point Park,18.95,4,2,212.56,0.57
Coconut Creek,Community Center and Fitness Center South,4.5,62,13,126.56,0.86
Coconut Creek,Cypress Park,5.05,91,6,192.57,0.57
Coconut Creek,George S. Gerber Memorial Park,4.05,1090,5,110.49,0.57
Coconut Creek,Hosford Park,1.63,4,1,161.08,0.29
